InventoryID,SnapshotDateKey,WarehouseID,ProductID,OpeningStock,ReceivedStock,SoldStock,DamagedStock,ClosingStock,ReorderLevel,StockStatus
INV00000038,20260625,W000001,P000055,1148,57,541,6,658,250,Healthy
INV00000039,20260625,W000001,P000039,961,232,241,4,948,250,Healthy
INV00000040,20260625,W000001,P000038,1312,390,522,8,1172,250,Healthy
INV00000041,20260625,W000001,P000037,908,152,731,9,320,250,Medium Stock
INV00000042,20260625,W000001,P000042,1003,78,598,2,481,250,Medium Stock
INV00000043,20260625,W000001,P000041,1352,398,351,9,1390,250,Healthy
INV00000044,20260625,W000001,P000040,1131,250,295,1,1085,250,Healthy
INV00000045,20260625,W000001,P000045,1171,157,510,0,818,250,Healthy
INV00000046,20260625,W000001,P000044,1046,290,347,1,988,250,Healthy
INV00000047,20260625,W000001,P000043,1297,35,1044,8,280,250,Medium Stock
INV00000048,20260625,W000001,P000048,928,65,684,8,301,250,Medium Stock
INV00000049,20260625,W000001,P000047,969,135,760,9,335,250,Medium Stock
INV00000050,20260625,W000001,P000046,1233,108,820,3,518,250,Healthy
INV00000051,20260625,W000001,P000051,1119,204,951,10,362,250,Medium Stock
INV00000052,20260625,W000001,P000050,1182,224,810,7,589,250,Healthy
INV00000053,20260625,W000001,P000049,923,126,439,1,609,250,Healthy
INV00000054,20260625,W000001,P000054,1146,10,833,8,315,250,Medium Stock
INV00000055,20260625,W000001,P000053,1035,301,492,0,844,250,Healthy
INV00000056,20260625,W000001,P000052,872,30,414,1,487,250,Medium Stock
INV00000057,20260625,W000001,P000089,832,220,548,1,503,250,Healthy
INV00000058,20260625,W000001,P000090,1326,121,574,10,863,250,Healthy
INV00000059,20260625,W000001,P000091,1297,109,833,2,571,250,Healthy
INV00000060,20260625,W000001,P000092,1384,295,819,3,857,250,Healthy
INV00000061,20260625,W000001,P000085,1284,208,492,1,999,250,Healthy
INV00000062,20260625,W000001,P000086,899,220,585,6,528,250,Healthy
INV00000063,20260625,W000001,P000087,1220,239,1037,0,422,250,Medium Stock
INV00000064,20260625,W000001,P000088,1489,334,565,0,1258,250,Healthy
INV00000065,20260625,W000001,P000093,1212,173,1096,1,288,250,Medium Stock
INV00000066,20260625,W000001,P000094,1054,98,424,8,720,250,Healthy
INV00000067,20260625,W000001,P000010,1259,71,698,2,630,250,Healthy
INV00000068,20260625,W000001,P000011,1085,236,519,1,801,250,Healthy
INV00000069,20260625,W000001,P000012,1253,281,406,0,1128,250,Healthy
INV00000070,20260625,W000001,P000013,1467,276,378,1,1364,250,Healthy
INV00000071,20260625,W000001,P000014,1042,85,641,7,479,250,Medium Stock
INV00000072,20260625,W000001,P000015,1292,109,690,0,711,250,Healthy
INV00000073,20260625,W000001,P000016,968,194,234,6,922,250,Healthy
INV00000074,20260625,W000001,P000017,1071,232,552,6,745,250,Healthy
INV00000075,20260625,W000001,P000018,1369,338,1337,2,368,250,Medium Stock
INV00000076,20260625,W000001,P000022,994,151,451,0,694,250,Healthy
INV00000077,20260625,W000001,P000023,1393,376,477,5,1287,250,Healthy
INV00000078,20260625,W000001,P000024,858,25,664,8,211,250,Low Stock
INV00000079,20260625,W000001,P000019,1343,80,342,8,1073,250,Healthy
INV00000080,20260625,W000001,P000020,882,95,265,9,703,250,Healthy
INV00000081,20260625,W000001,P000021,869,120,610,1,378,250,Medium Stock
INV00000082,20260625,W000001,P000028,1383,126,893,9,607,250,Healthy
INV00000083,20260625,W000001,P000029,840,158,282,6,710,250,Healthy
INV00000084,20260625,W000001,P000030,1473,298,1001,4,766,250,Healthy
INV00000085,20260625,W000001,P000025,1009,160,477,4,688,250,Healthy
INV00000086,20260625,W000001,P000026,1205,67,941,10,321,250,Medium Stock
INV00000087,20260625,W000001,P000027,1107,234,591,1,749,250,Healthy
INV00000088,20260625,W000001,P000034,809,117,287,1,638,250,Healthy
INV00000089,20260625,W000001,P000035,1350,109,809,4,646,250,Healthy
INV00000090,20260625,W000001,P000036,935,178,292,3,818,250,Healthy
INV00000091,20260625,W000001,P000031,1178,145,425,7,891,250,Healthy
INV00000092,20260625,W000001,P000032,1356,360,962,9,745,250,Healthy
INV00000093,20260625,W000001,P000033,1469,270,363,10,1366,250,Healthy
INV00000094,20260625,W000001,P000007,1367,153,983,1,536,250,Healthy
INV00000095,20260625,W000001,P000008,937,135,332,1,739,250,Healthy
INV00000096,20260625,W000001,P000009,1366,79,567,4,874,250,Healthy
INV00000097,20260625,W000001,P000001,1419,107,1039,5,482,250,Medium Stock
INV00000098,20260625,W000001,P000002,1008,135,745,7,391,250,Medium Stock
INV00000099,20260625,W000001,P000003,1057,26,310,10,763,250,Healthy
INV00000100,20260625,W000001,P000004,1233,141,319,0,1055,250,Healthy
INV00000101,20260625,W000001,P000005,1141,66,893,4,310,250,Medium Stock
INV00000102,20260625,W000001,P000006,965,226,802,6,383,250,Medium Stock
INV00000103,20260625,W000001,P000109,1374,4,389,1,988,250,Healthy
INV00000104,20260625,W000001,P000108,952,279,282,5,944,250,Healthy
INV00000105,20260625,W000001,P000107,1396,282,486,6,1186,250,Healthy
INV00000106,20260625,W000001,P000110,930,21,505,5,441,250,Medium Stock
INV00000107,20260625,W000001,P000105,840,230,580,3,487,250,Medium Stock
INV00000108,20260625,W000001,P000104,1498,127,1007,1,617,250,Healthy
INV00000109,20260625,W000001,P000103,1162,286,705,9,734,250,Healthy
INV00000110,20260625,W000001,P000106,958,121,381,2,696,250,Healthy
INV00000111,20260625,W000001,P000097,1222,12,429,5,800,250,Healthy
INV00000112,20260625,W000001,P000096,1221,342,1196,3,364,250,Medium Stock
INV00000113,20260625,W000001,P000095,1073,81,340,6,808,250,Healthy
INV00000114,20260625,W000001,P000098,839,219,692,3,363,250,Medium Stock
INV00000115,20260625,W000001,P000101,1004,235,605,4,630,250,Healthy
INV00000116,20260625,W000001,P000100,1033,114,253,10,884,250,Healthy
INV00000117,20260625,W000001,P000099,997,204,576,4,621,250,Healthy
INV00000118,20260625,W000001,P000102,871,142,561,10,442,250,Medium Stock
INV00000119,20260625,W000001,P000117,1321,204,1000,8,517,250,Healthy
INV00000120,20260625,W000001,P000116,1139,14,348,4,801,250,Healthy
INV00000121,20260625,W000001,P000115,982,135,262,1,854,250,Healthy
INV00000122,20260625,W000001,P000118,1410,222,679,5,948,250,Healthy
INV00000123,20260625,W000001,P000113,1246,310,834,1,721,250,Healthy
INV00000124,20260625,W000001,P000112,1194,295,491,4,994,250,Healthy
INV00000125,20260625,W000001,P000111,845,181,651,0,375,250,Medium Stock
INV00000126,20260625,W000001,P000114,1332,275,1024,10,573,250,Healthy
INV00000127,20260625,W000001,P000158,1001,186,678,1,508,250,Healthy
INV00000128,20260625,W000001,P000155,1480,169,967,5,677,250,Healthy
INV00000129,20260625,W000001,P000156,1479,434,637,4,1272,250,Healthy
INV00000130,20260625,W000001,P000157,1319,158,977,6,494,250,Medium Stock
INV00000131,20260625,W000001,P000154,1134,206,981,4,355,250,Medium Stock
INV00000132,20260625,W000001,P000151,1367,65,482,6,944,250,Healthy
INV00000133,20260625,W000001,P000152,1480,194,1027,2,645,250,Healthy
INV00000134,20260625,W000001,P000153,1430,291,960,6,755,250,Healthy
INV00000135,20260625,W000001,P000174,1361,0,583,4,774,250,Healthy
INV00000136,20260625,W000001,P000171,1015,220,840,9,386,250,Medium Stock
INV00000137,20260625,W000001,P000172,1470,164,802,7,825,250,Healthy
INV00000138,20260625,W000001,P000173,1252,345,537,8,1052,250,Healthy
INV00000139,20260625,W000001,P000170,1284,376,505,10,1145,250,Healthy
INV00000140,20260625,W000001,P000167,886,145,733,10,288,250,Medium Stock
INV00000141,20260625,W000001,P000168,1448,317,1039,1,725,250,Healthy
INV00000142,20260625,W000001,P000169,1040,158,469,3,726,250,Healthy
INV00000143,20260625,W000001,P000146,950,12,239,3,720,250,Healthy
INV00000144,20260625,W000001,P000143,1286,312,1189,1,408,250,Medium Stock
INV00000145,20260625,W000001,P000144,1266,212,939,9,530,250,Healthy
INV00000146,20260625,W000001,P000145,999,196,745,6,444,250,Medium Stock
INV00000147,20260625,W000001,P000150,1049,75,895,0,229,250,Low Stock
INV00000148,20260625,W000001,P000147,909,217,449,2,675,250,Healthy
INV00000149,20260625,W000001,P000148,1330,237,364,8,1195,250,Healthy
INV00000150,20260625,W000001,P000149,1055,62,690,2,425,250,Medium Stock
INV00000151,20260625,W000001,P000166,1275,341,866,8,742,250,Healthy
INV00000152,20260625,W000001,P000163,1409,162,1087,7,477,250,Medium Stock
INV00000153,20260625,W000001,P000164,1427,417,1401,6,437,250,Medium Stock
INV00000154,20260625,W000001,P000165,1361,228,1235,2,352,250,Medium Stock
INV00000155,20260625,W000001,P000162,1286,230,568,3,945,250,Healthy
INV00000156,20260625,W000001,P000159,1452,141,1102,8,483,250,Medium Stock
INV00000157,20260625,W000001,P000160,1296,320,567,4,1045,250,Healthy
INV00000158,20260625,W000001,P000161,1250,39,987,4,298,250,Medium Stock
INV00000159,20260625,W000001,P000121,1040,139,578,5,596,250,Healthy
INV00000160,20260625,W000001,P000120,1353,41,419,2,973,250,Healthy
INV00000161,20260625,W000001,P000119,1036,196,956,2,274,250,Medium Stock
INV00000162,20260625,W000001,P000122,1019,32,634,6,411,250,Medium Stock
INV00000163,20260625,W000001,P000125,1138,277,760,6,649,250,Healthy
INV00000164,20260625,W000001,P000124,863,105,623,6,339,250,Medium Stock
INV00000165,20260625,W000001,P000123,1398,356,390,9,1355,250,Healthy
INV00000166,20260625,W000001,P000126,1189,244,292,5,1136,250,Healthy
INV00000167,20260625,W000001,P000137,1105,199,689,8,607,250,Healthy
INV00000168,20260625,W000001,P000136,1359,308,1252,3,412,250,Medium Stock
INV00000169,20260625,W000001,P000135,1299,112,561,6,844,250,Healthy
INV00000170,20260625,W000001,P000138,1297,14,660,5,646,250,Healthy
INV00000171,20260625,W000001,P000141,1484,347,1194,2,635,250,Healthy
INV00000172,20260625,W000001,P000140,1278,65,905,8,430,250,Medium Stock
INV00000173,20260625,W000001,P000139,827,232,614,9,436,250,Medium Stock
INV00000174,20260625,W000001,P000142,1377,339,398,1,1317,250,Healthy
INV00000175,20260625,W000001,P000133,1458,219,473,7,1197,250,Healthy
INV00000176,20260625,W000001,P000132,986,25,468,6,537,250,Healthy
INV00000177,20260625,W000001,P000131,1135,108,713,5,525,250,Healthy
INV00000178,20260625,W000001,P000134,1145,194,551,6,782,250,Healthy
INV00000179,20260625,W000001,P000129,1058,41,700,0,399,250,Medium Stock
INV00000180,20260625,W000001,P000128,1352,26,633,3,742,250,Healthy
INV00000181,20260625,W000001,P000127,1465,35,1099,10,391,250,Medium Stock
INV00000182,20260625,W000001,P000130,841,193,237,3,794,250,Healthy
INV00000183,20260625,W000001,P000227,1004,10,358,3,653,250,Healthy
INV00000184,20260625,W000001,P000228,929,242,919,1,251,250,Medium Stock
INV00000185,20260625,W000001,P000226,1377,111,773,4,711,250,Healthy
INV00000186,20260625,W000001,P000224,1177,85,872,9,381,250,Medium Stock
INV00000187,20260625,W000001,P000225,917,83,518,1,481,250,Medium Stock
INV00000188,20260625,W000001,P000223,1392,13,600,9,796,250,Healthy
INV00000189,20260625,W000001,P000217,1493,192,743,3,939,250,Healthy
INV00000190,20260625,W000001,P000218,877,124,304,4,693,250,Healthy
INV00000191,20260625,W000001,P000219,1500,307,608,9,1190,250,Healthy
INV00000192,20260625,W000001,P000220,842,88,731,6,193,250,Low Stock
INV00000193,20260625,W000001,P000221,1477,189,403,8,1255,250,Healthy
INV00000194,20260625,W000001,P000222,1463,174,339,6,1292,250,Healthy
INV00000195,20260625,W000001,P000211,1301,54,714,5,636,250,Healthy
INV00000196,20260625,W000001,P000212,1450,424,1315,2,557,250,Healthy
INV00000197,20260625,W000001,P000213,1245,90,1018,8,309,250,Medium Stock
INV00000198,20260625,W000001,P000214,1466,138,950,8,646,250,Healthy
INV00000199,20260625,W000001,P000215,1295,238,752,9,772,250,Healthy
INV00000200,20260625,W000001,P000216,1074,165,498,1,740,250,Healthy
INV00000201,20260625,W000001,P000198,1085,230,512,7,796,250,Healthy
INV00000202,20260625,W000001,P000196,1383,312,1023,6,666,250,Healthy
INV00000203,20260625,W000001,P000197,1144,14,737,5,416,250,Medium Stock
INV00000204,20260625,W000001,P000201,986,249,464,5,766,250,Healthy
INV00000205,20260625,W000001,P000199,1064,174,533,9,696,250,Healthy
INV00000206,20260625,W000001,P000200,1082,284,283,8,1075,250,Healthy
INV00000207,20260625,W000001,P000204,995,43,454,6,578,250,Healthy
INV00000208,20260625,W000001,P000202,1300,284,1092,3,489,250,Medium Stock
INV00000209,20260625,W000001,P000203,1287,330,1051,7,559,250,Healthy
INV00000210,20260625,W000001,P000207,1258,8,348,4,914,250,Healthy
INV00000211,20260625,W000001,P000205,1026,207,954,3,276,250,Medium Stock
INV00000212,20260625,W000001,P000206,1113,297,659,7,744,250,Healthy
INV00000213,20260625,W000001,P000210,1366,271,679,6,952,250,Healthy
INV00000214,20260625,W000001,P000208,1363,169,666,7,859,250,Healthy
INV00000215,20260625,W000001,P000209,1077,156,503,3,727,250,Healthy
INV00000216,20260625,W000001,P000181,923,98,527,1,493,250,Medium Stock
INV00000217,20260625,W000001,P000182,1348,390,726,3,1009,250,Healthy
INV00000218,20260625,W000001,P000183,1021,247,536,9,723,250,Healthy
INV00000219,20260625,W000001,P000184,1337,305,617,1,1024,250,Healthy
INV00000220,20260625,W000001,P000185,998,151,461,5,683,250,Healthy
INV00000221,20260625,W000001,P000186,983,154,241,8,888,250,Healthy
INV00000222,20260625,W000001,P000178,929,140,259,0,810,250,Healthy
INV00000223,20260625,W000001,P000179,1366,149,1017,2,496,250,Medium Stock
INV00000224,20260625,W000001,P000180,1453,385,1372,1,465,250,Medium Stock
INV00000225,20260625,W000001,P000175,812,146,482,7,469,250,Medium Stock
INV00000226,20260625,W000001,P000176,1290,225,651,2,862,250,Healthy
INV00000227,20260625,W000001,P000177,852,129,685,1,295,250,Medium Stock
INV00000228,20260625,W000001,P000187,866,205,717,1,353,250,Medium Stock
INV00000229,20260625,W000001,P000189,1390,322,451,2,1259,250,Healthy
INV00000230,20260625,W000001,P000188,952,155,308,3,796,250,Healthy
INV00000231,20260625,W000001,P000195,921,213,846,9,279,250,Medium Stock
INV00000232,20260625,W000001,P000194,1433,115,1103,8,437,250,Medium Stock
INV00000233,20260625,W000001,P000193,1189,230,736,4,679,250,Healthy
INV00000234,20260625,W000001,P000192,1402,219,636,9,976,250,Healthy
INV00000235,20260625,W000001,P000191,1435,30,917,1,547,250,Healthy
INV00000236,20260625,W000001,P000190,1012,108,494,10,616,250,Healthy
INV00000237,20260625,W000001,P000264,883,80,437,2,524,250,Healthy
INV00000238,20260625,W000001,P000265,1365,38,440,0,963,250,Healthy
INV00000239,20260625,W000001,P000263,1218,230,994,9,445,250,Medium Stock
INV00000240,20260625,W000001,P000267,1281,149,319,3,1108,250,Healthy
INV00000241,20260625,W000001,P000268,1095,144,966,7,266,250,Medium Stock
INV00000242,20260625,W000001,P000266,872,119,468,10,513,250,Healthy
INV00000243,20260625,W000001,P000270,1403,338,753,6,982,250,Healthy
INV00000244,20260625,W000001,P000269,917,115,358,4,670,250,Healthy
INV00000245,20260625,W000002,P000070,945,36,257,2,722,250,Healthy
INV00000246,20260625,W000002,P000071,1114,304,1049,9,360,250,Medium Stock
INV00000247,20260625,W000002,P000072,1095,224,390,7,922,250,Healthy
INV00000248,20260625,W000002,P000067,1111,206,541,8,768,250,Healthy
INV00000249,20260625,W000002,P000068,1352,252,768,1,835,250,Healthy
INV00000250,20260625,W000002,P000069,1412,20,728,5,699,250,Healthy
INV00000251,20260625,W000002,P000079,1418,128,335,1,1210,250,Healthy
INV00000252,20260625,W000002,P000080,1034,294,866,0,462,250,Medium Stock
INV00000253,20260625,W000002,P000081,1488,420,932,9,967,250,Healthy
INV00000254,20260625,W000002,P000082,841,195,386,7,643,250,Healthy
INV00000255,20260625,W000002,P000083,1331,333,784,4,876,250,Healthy
INV00000256,20260625,W000002,P000084,985,223,891,7,310,250,Medium Stock
INV00000257,20260625,W000002,P000076,893,240,582,6,545,250,Healthy
INV00000258,20260625,W000002,P000077,1141,164,947,1,357,250,Medium Stock
INV00000259,20260625,W000002,P000078,964,168,647,7,478,250,Medium Stock
INV00000260,20260625,W000002,P000073,1095,205,1038,8,254,250,Medium Stock
INV00000261,20260625,W000002,P000074,837,116,280,5,668,250,Healthy
INV00000262,20260625,W000002,P000075,1058,165,362,6,855,250,Healthy
INV00000263,20260625,W000002,P000063,1326,0,938,8,380,250,Medium Stock
INV00000264,20260625,W000002,P000062,1273,211,351,3,1130,250,Healthy
INV00000265,20260625,W000002,P000061,1330,185,940,7,568,250,Healthy
INV00000266,20260625,W000002,P000066,1440,226,1111,0,555,250,Healthy
INV00000267,20260625,W000002,P000065,1008,136,790,2,352,250,Medium Stock
INV00000268,20260625,W000002,P000064,1094,224,978,7,333,250,Medium Stock
INV00000269,20260625,W000002,P000060,924,14,432,2,504,250,Healthy
INV00000270,20260625,W000002,P000059,1118,282,294,8,1098,250,Healthy
INV00000271,20260625,W000002,P000058,1217,47,482,1,781,250,Healthy
INV00000272,20260625,W000002,P000057,1272,60,929,2,401,250,Medium Stock
INV00000273,20260625,W000002,P000056,1310,366,633,8,1035,250,Healthy
INV00000274,20260625,W000002,P000055,1079,212,752,7,532,250,Healthy
INV00000275,20260625,W000002,P000039,1049,233,820,2,460,250,Medium Stock
INV00000276,20260625,W000002,P000038,1192,97,870,8,411,250,Medium Stock
INV00000277,20260625,W000002,P000037,939,35,476,6,492,250,Medium Stock
INV00000278,20260625,W000002,P000042,1148,259,554,0,853,250,Healthy
INV00000279,20260625,W000002,P000041,1089,152,849,9,383,250,Medium Stock
INV00000280,20260625,W000002,P000040,1475,250,649,7,1069,250,Healthy
INV00000281,20260625,W000002,P000045,1351,247,672,5,921,250,Healthy
INV00000282,20260625,W000002,P000044,1365,390,1123,7,625,250,Healthy
INV00000283,20260625,W000002,P000043,1129,96,959,3,263,250,Medium Stock
INV00000284,20260625,W000002,P000048,1385,196,555,6,1020,250,Healthy
INV00000285,20260625,W000002,P000047,844,81,669,6,250,250,Low Stock
INV00000286,20260625,W000002,P000046,1195,339,1117,10,407,250,Medium Stock
INV00000287,20260625,W000002,P000051,955,253,278,2,928,250,Healthy
INV00000288,20260625,W000002,P000050,1314,302,662,1,953,250,Healthy
INV00000289,20260625,W000002,P000049,1250,51,798,7,496,250,Medium Stock
INV00000290,20260625,W000002,P000054,815,184,346,6,647,250,Healthy
INV00000291,20260625,W000002,P000053,1470,79,385,7,1157,250,Healthy
INV00000292,20260625,W000002,P000052,1071,173,886,6,352,250,Medium Stock
INV00000293,20260625,W000002,P000089,1465,41,1173,5,328,250,Medium Stock
INV00000294,20260625,W000002,P000090,1490,439,1477,6,446,250,Medium Stock
INV00000295,20260625,W000002,P000091,1124,320,1023,7,414,250,Medium Stock
INV00000296,20260625,W000002,P000092,1354,18,906,1,465,250,Medium Stock
INV00000297,20260625,W000002,P000085,1040,147,469,1,717,250,Healthy
INV00000298,20260625,W000002,P000086,1244,50,906,1,387,250,Medium Stock
INV00000299,20260625,W000002,P000087,1254,85,977,4,358,250,Medium Stock
INV00000300,20260625,W000002,P000088,829,11,334,0,506,250,Healthy
INV00000301,20260625,W000002,P000093,1100,183,639,6,638,250,Healthy
INV00000302,20260625,W000002,P000094,949,125,757,6,311,250,Medium Stock
INV00000303,20260625,W000002,P000010,1379,349,713,2,1013,250,Healthy
INV00000304,20260625,W000002,P000011,979,40,594,9,416,250,Medium Stock
INV00000305,20260625,W000002,P000012,1499,123,833,9,780,250,Healthy
INV00000306,20260625,W000002,P000013,946,118,684,10,370,250,Medium Stock
INV00000307,20260625,W000002,P000014,1060,235,520,10,765,250,Healthy
INV00000308,20260625,W000002,P000015,809,230,683,4,352,250,Medium Stock
INV00000309,20260625,W000002,P000016,1493,279,677,1,1094,250,Healthy
INV00000310,20260625,W000002,P000017,1252,176,886,4,538,250,Healthy
INV00000311,20260625,W000002,P000018,1454,217,1040,4,627,250,Healthy
INV00000312,20260625,W000002,P000022,1267,154,487,6,928,250,Healthy
INV00000313,20260625,W000002,P000023,1294,54,511,6,831,250,Healthy
INV00000314,20260625,W000002,P000024,1385,183,901,4,663,250,Healthy
INV00000315,20260625,W000002,P000019,1102,11,627,4,482,250,Medium Stock
INV00000316,20260625,W000002,P000020,808,144,240,9,703,250,Healthy
INV00000317,20260625,W000002,P000021,1308,146,1084,3,367,250,Medium Stock
INV00000318,20260625,W000002,P000028,1421,410,1087,3,741,250,Healthy
INV00000319,20260625,W000002,P000029,1451,97,944,4,600,250,Healthy
INV00000320,20260625,W000002,P000030,1494,386,656,10,1214,250,Healthy
INV00000321,20260625,W000002,P000025,899,20,499,7,413,250,Medium Stock
INV00000322,20260625,W000002,P000026,834,148,569,2,411,250,Medium Stock
INV00000323,20260625,W000002,P000027,892,151,542,6,495,250,Medium Stock
INV00000324,20260625,W000002,P000034,979,102,351,8,722,250,Healthy
INV00000325,20260625,W000002,P000035,1174,271,802,4,639,250,Healthy
INV00000326,20260625,W000002,P000036,968,131,712,4,383,250,Medium Stock
INV00000327,20260625,W000002,P000031,1146,58,719,1,484,250,Medium Stock
INV00000328,20260625,W000002,P000032,944,115,617,8,434,250,Medium Stock
INV00000329,20260625,W000002,P000033,1174,46,648,0,572,250,Healthy
INV00000330,20260625,W000002,P000007,1070,274,394,7,943,250,Healthy
INV00000331,20260625,W000002,P000008,1177,344,1070,10,441,250,Medium Stock
INV00000332,20260625,W000002,P000009,1068,299,663,10,694,250,Healthy
INV00000333,20260625,W000002,P000001,1180,55,938,3,294,250,Medium Stock
INV00000334,20260625,W000002,P000002,1282,12,892,8,394,250,Medium Stock
INV00000335,20260625,W000002,P000003,1135,312,515,10,922,250,Healthy
INV00000336,20260625,W000002,P000004,864,237,529,10,562,250,Healthy
INV00000337,20260625,W000002,P000005,1218,59,398,0,879,250,Healthy
INV00000338,20260625,W000002,P000006,838,77,687,1,227,250,Low Stock
INV00000339,20260625,W000002,P000109,899,120,753,2,264,250,Medium Stock
INV00000340,20260625,W000002,P000108,1197,232,664,10,755,250,Healthy
INV00000341,20260625,W000002,P000107,1353,214,914,2,651,250,Healthy
INV00000342,20260625,W000002,P000110,1224,335,412,7,1140,250,Healthy
INV00000343,20260625,W000002,P000105,1430,208,1288,4,346,250,Medium Stock
INV00000344,20260625,W000002,P000104,833,176,580,3,426,250,Medium Stock
INV00000345,20260625,W000002,P000103,1254,227,537,5,939,250,Healthy
INV00000346,20260625,W000002,P000106,901,188,774,10,305,250,Medium Stock
INV00000347,20260625,W000002,P000097,1167,31,646,4,548,250,Healthy
INV00000348,20260625,W000002,P000096,994,62,676,1,379,250,Medium Stock
INV00000349,20260625,W000002,P000095,1478,108,974,10,602,250,Healthy
INV00000350,20260625,W000002,P000098,1411,10,335,5,1081,250,Healthy
INV00000351,20260625,W000002,P000101,1049,64,800,3,310,250,Medium Stock
INV00000352,20260625,W000002,P000100,870,106,416,3,557,250,Healthy
INV00000353,20260625,W000002,P000099,1136,75,852,0,359,250,Medium Stock
INV00000354,20260625,W000002,P000102,1083,74,364,8,785,250,Healthy
INV00000355,20260625,W000002,P000117,1056,89,341,10,794,250,Healthy
INV00000356,20260625,W000002,P000116,826,33,186,5,668,250,Healthy
INV00000357,20260625,W000002,P000115,1043,301,599,0,745,250,Healthy
INV00000358,20260625,W000002,P000118,978,135,275,2,836,250,Healthy
INV00000359,20260625,W000002,P000113,1231,269,416,1,1083,250,Healthy
INV00000360,20260625,W000002,P000112,1287,229,1099,5,412,250,Medium Stock
INV00000361,20260625,W000002,P000111,1325,303,436,7,1185,250,Healthy
INV00000362,20260625,W000002,P000114,1315,113,914,0,514,250,Healthy
INV00000363,20260625,W000002,P000158,1474,266,965,7,768,250,Healthy
INV00000364,20260625,W000002,P000155,1458,15,356,7,1110,250,Healthy
INV00000365,20260625,W000002,P000156,1211,218,987,1,441,250,Medium Stock
INV00000366,20260625,W000002,P000157,1302,364,1264,7,395,250,Medium Stock
INV00000367,20260625,W000002,P000154,875,41,512,9,395,250,Medium Stock
INV00000368,20260625,W000002,P000151,951,33,325,4,655,250,Healthy
INV00000369,20260625,W000002,P000152,1439,324,1017,6,740,250,Healthy
INV00000370,20260625,W000002,P000153,1411,271,637,7,1038,250,Healthy
INV00000371,20260625,W000002,P000174,1317,309,765,1,860,250,Healthy
INV00000372,20260625,W000002,P000171,917,110,645,7,375,250,Medium Stock
INV00000373,20260625,W000002,P000172,1033,211,595,7,642,250,Healthy
INV00000374,20260625,W000002,P000173,1208,212,1031,1,388,250,Medium Stock
INV00000375,20260625,W000002,P000170,1120,218,587,10,741,250,Healthy
INV00000376,20260625,W000002,P000167,1061,191,406,10,836,250,Healthy
INV00000377,20260625,W000002,P000168,1285,34,356,1,962,250,Healthy
